# D2Common.dll Data Todo List
# Format: [ ] name @ address (N xrefs)
# Generated by extract_ghidra_data_REST.ps1 on 10/16/2025 01:22:55
# Using list_data_items_by_xrefs endpoint (v1.7.4+)
# Total data items: 5000
# Total items fetched: 5000
# Sorted by xref count (highest first)
# Items with 0 xrefs excluded by API
#

[X] GlobalDataTables @ 6fde9e1c (511 xrefs)
[ ] DAT_6fdf1434 @ 6fdf1434 (4 xrefs)
[ ] DAT_6fdf1464 @ 6fdf1464 (4 xrefs)
[ ] g_smallBlockThreshold @ 6fdf14b4 (4 xrefs)
[ ] DAT_6fdf14b8 @ 6fdf14b8 (4 xrefs)
[ ] DAT_6fdf14c8 @ 6fdf14c8 (4 xrefs)
[ ] DAT_6fdf2858 @ 6fdf2858 (4 xrefs)
[ ] PTR_Ordinal_10011_6fdd9000 @ 6fdd9000 (3 xrefs)
[ ] PTR_strncpy_6fdd9040 @ 6fdd9040 (3 xrefs)
[ ] PTR_VirtualAlloc_6fdd9110 @ 6fdd9110 (3 xrefs)
[ ] PTR_VirtualQuery_6fdd9140 @ 6fdd9140 (3 xrefs)
[ ] PTR_InterlockedExchange_6fdd9144 @ 6fdd9144 (3 xrefs)
[ ] PTR_HeapReAlloc_6fdd914c @ 6fdd914c (3 xrefs)
[ ] PTR_GetFileType_6fdd917c @ 6fdd917c (3 xrefs)
[ ] PTR_LCMapStringA_6fdd9198 @ 6fdd9198 (3 xrefs)
[ ] PTR_WriteFile_6fdd91a8 @ 6fdd91a8 (3 xrefs)
[ ] PTR_InitializeCriticalSection_6fdd920c @ 6fdd920c (3 xrefs)
[ ] PTR_QueryPerformanceCounter_6fdd9214 @ 6fdd9214 (3 xrefs)
[ ] s_item10_6fdda8f4 @ 6fdda8f4 (3 xrefs)
[ ] s_item9_6fdda914 @ 6fdda914 (3 xrefs)
[ ] s_item8_6fdda934 @ 6fdda934 (3 xrefs)
[ ] s_item7_6fdda954 @ 6fdda954 (3 xrefs)
[ ] s_item6_6fdda974 @ 6fdda974 (3 xrefs)
[ ] s_item5_6fdda994 @ 6fdda994 (3 xrefs)
[ ] s_item4_6fdda9b4 @ 6fdda9b4 (3 xrefs)
[ ] s_Skill4_6fddaa8c @ 6fddaa8c (3 xrefs)
[ ] s_Skill3_6fddaaa0 @ 6fddaaa0 (3 xrefs)
[ ] s_Skill2_6fddaab4 @ 6fddaab4 (3 xrefs)
[ ] s_Skill1_6fddaac8 @ 6fddaac8 (3 xrefs)
[ ] s_Trans_6fddae00 @ 6fddae00 (3 xrefs)
[ ] s_HitClass_6fddb118 @ 6fddb118 (3 xrefs)
[ ] DAT_6fddbc20 @ 6fddbc20 (3 xrefs)
[ ] DAT_6fddca0c @ 6fddca0c (3 xrefs)
[ ] DAT_6fddcbf0 @ 6fddcbf0 (3 xrefs)
[ ] s_runessrv_6fddda88 @ 6fddda88 (3 xrefs)
[ ] s_prop6_6fdde8ac @ 6fdde8ac (3 xrefs)
[ ] s_prop5_6fdde8cc @ 6fdde8cc (3 xrefs)
[ ] s_prop4_6fdde8ec @ 6fdde8ec (3 xrefs)
[ ] s_prop3_6fdde90c @ 6fdde90c (3 xrefs)
[ ] s_prop2_6fdde92c @ 6fdde92c (3 xrefs)
[ ] s_prop1_6fdde94c @ 6fdde94c (3 xrefs)
[ ] s_cost_add_6fdde954 @ 6fdde954 (3 xrefs)
[ ] s_cost_mult_6fdde960 @ 6fdde960 (3 xrefs)
[ ] s_index_6fdde9b8 @ 6fdde9b8 (3 xrefs)
[ ] s_etype3_6fddeaa0 @ 6fddeaa0 (3 xrefs)
[ ] s_etype2_6fddeaa8 @ 6fddeaa8 (3 xrefs)
[ ] s_etype1_6fddeab0 @ 6fddeab0 (3 xrefs)
[ ] s_itype6_6fddeac0 @ 6fddeac0 (3 xrefs)
[ ] s_itype5_6fddeac8 @ 6fddeac8 (3 xrefs)
[ ] s_itype4_6fddead0 @ 6fddead0 (3 xrefs)
[ ] s_itype3_6fddead8 @ 6fddead8 (3 xrefs)
[ ] s_itype2_6fddeae0 @ 6fddeae0 (3 xrefs)
[ ] s_itype1_6fddeae8 @ 6fddeae8 (3 xrefs)
[ ] s_usesound_6fddf22c @ 6fddf22c (3 xrefs)
[ ] s_dropsfxframe_6fddf238 @ 6fddf238 (3 xrefs)
[ ] s_dropsound_6fddf248 @ 6fddf248 (3 xrefs)
[ ] s_invfile_6fddf344 @ 6fddf344 (3 xrefs)
[ ] s_flippyfile_6fddf34c @ 6fddf34c (3 xrefs)
[ ] s_DATA\GLOBAL\TILES_6fddf7b4 @ 6fddf7b4 (3 xrefs)
[ ] s_Expansion_6fddf7d4 @ 6fddf7d4 (3 xrefs)
[ ] s_leveldefs_6fddf8e8 @ 6fddf8e8 (3 xrefs)
[ ] s_levels_6fddfa90 @ 6fddfa90 (3 xrefs)
[ ] s_missile_%d_6fde01ec @ 6fde01ec (3 xrefs)
[ ] s_..\Source\D2Common\COLLISN\Colli_6fde3140 @ 6fde3140 (3 xrefs)
[ ] DAT_6fde36a8 @ 6fde36a8 (3 xrefs)
[ ] DAT_6fde36c0 @ 6fde36c0 (3 xrefs)
[ ] s_..\Source\D2Common\ENVIRONMENT\E_6fde40e8 @ 6fde40e8 (3 xrefs)
[ ] s_..\Source\D2Common\UNITS\UnitFin_6fde5f6c @ 6fde5f6c (3 xrefs)
[ ] s_..\Source\D2Common\DRLG\Maze.cpp_6fde6d48 @ 6fde6d48 (3 xrefs)
[ ] DAT_6fde704c @ 6fde704c (3 xrefs)
[ ] DAT_6fde7054 @ 6fde7054 (3 xrefs)
[ ] DAT_6fde9000 @ 6fde9000 (3 xrefs)
[ ] DAT_6fde904c @ 6fde904c (3 xrefs)
[ ] DAT_6fde9054 @ 6fde9054 (3 xrefs)
[ ] DAT_6fde9ecc @ 6fde9ecc (3 xrefs)
[ ] DAT_6fdeb1b1 @ 6fdeb1b1 (3 xrefs)
[ ] DAT_6fdeb1b2 @ 6fdeb1b2 (3 xrefs)
[ ] PTR_DAT_6fdeef94 @ 6fdeef94 (3 xrefs)
[ ] DAT_6fdef5b0 @ 6fdef5b0 (3 xrefs)
[ ] DAT_6fdef5c4 @ 6fdef5c4 (3 xrefs)
[ ] DAT_6fdef5f4 @ 6fdef5f4 (3 xrefs)
[ ] DAT_6fdef75c @ 6fdef75c (3 xrefs)
[ ] DAT_6fdef768 @ 6fdef768 (3 xrefs)
[ ] DAT_6fdef890 @ 6fdef890 (3 xrefs)
[ ] DAT_6fdef96c @ 6fdef96c (3 xrefs)
[ ] DAT_6fdefb84 @ 6fdefb84 (3 xrefs)
[ ] DAT_6fdefb88 @ 6fdefb88 (3 xrefs)
[ ] DAT_6fdefb8c @ 6fdefb8c (3 xrefs)
[ ] DAT_6fdefb90 @ 6fdefb90 (3 xrefs)
[ ] DAT_6fdefbb0 @ 6fdefbb0 (3 xrefs)
[ ] DAT_6fdefbc8 @ 6fdefbc8 (3 xrefs)
[ ] DAT_6fdefda0 @ 6fdefda0 (3 xrefs)
[ ] DAT_6fdeff5c @ 6fdeff5c (3 xrefs)
[ ] DAT_6fdeff88 @ 6fdeff88 (3 xrefs)
[ ] DAT_6fdeffb4 @ 6fdeffb4 (3 xrefs)
[ ] DAT_6fdeffd8 @ 6fdeffd8 (3 xrefs)
[ ] DAT_6fdeffdc @ 6fdeffdc (3 xrefs)
[ ] DAT_6fdf0044 @ 6fdf0044 (3 xrefs)
[ ] DAT_6fdf004c @ 6fdf004c (3 xrefs)
[ ] DAT_6fdf005c @ 6fdf005c (3 xrefs)
[ ] DAT_6fdf0068 @ 6fdf0068 (3 xrefs)
[ ] DAT_6fdf006c @ 6fdf006c (3 xrefs)
[ ] DAT_6fdf089c @ 6fdf089c (3 xrefs)
[ ] DAT_6fdf099c @ 6fdf099c (3 xrefs)
[ ] DAT_6fdf0a50 @ 6fdf0a50 (3 xrefs)
[ ] DAT_6fdf0a64 @ 6fdf0a64 (3 xrefs)
[ ] DAT_6fdf0a68 @ 6fdf0a68 (3 xrefs)
[ ] DAT_6fdf0ab0 @ 6fdf0ab0 (3 xrefs)
[ ] DAT_6fdf0b08 @ 6fdf0b08 (3 xrefs)
[ ] DAT_6fdf0b1c @ 6fdf0b1c (3 xrefs)
[ ] DAT_6fdf0b28 @ 6fdf0b28 (3 xrefs)
[ ] DAT_6fdf0b54 @ 6fdf0b54 (3 xrefs)
[ ] DAT_6fdf0b58 @ 6fdf0b58 (3 xrefs)
[ ] DAT_6fdf0b5c @ 6fdf0b5c (3 xrefs)
[ ] DAT_6fdf0b68 @ 6fdf0b68 (3 xrefs)
[ ] DAT_6fdf0bb0 @ 6fdf0bb0 (3 xrefs)
[ ] DAT_6fdf13a8 @ 6fdf13a8 (3 xrefs)
[ ] DAT_6fdf13b0 @ 6fdf13b0 (3 xrefs)
[ ] DAT_6fdf13b8 @ 6fdf13b8 (3 xrefs)
[ ] DAT_6fdf13bc @ 6fdf13bc (3 xrefs)
[ ] DAT_6fdf13c0 @ 6fdf13c0 (3 xrefs)
[ ] DAT_6fdf13cc @ 6fdf13cc (3 xrefs)
[ ] DAT_6fdf13d0 @ 6fdf13d0 (3 xrefs)
[ ] DAT_6fdf1448 @ 6fdf1448 (3 xrefs)
[ ] DAT_6fdf1468 @ 6fdf1468 (3 xrefs)
[ ] DAT_6fdf1474 @ 6fdf1474 (3 xrefs)
[ ] DAT_6fdf1490 @ 6fdf1490 (3 xrefs)
[ ] DAT_6fdf14bc @ 6fdf14bc (3 xrefs)
[ ] DAT_6fdf15f4 @ 6fdf15f4 (3 xrefs)
[ ] DAT_6fdf15f8 @ 6fdf15f8 (3 xrefs)
[ ] DAT_6fdf1600 @ 6fdf1600 (3 xrefs)
[ ] switchdataD_6fd7a144 @ 6fd7a144 (2 xrefs)
[ ] switchdataD_6fd96ff8 @ 6fd96ff8 (2 xrefs)
[ ] PTR_toUnicode_6fdd9030 @ 6fdd9030 (2 xrefs)
[ ] PTR_unicode2Win_6fdd9034 @ 6fdd9034 (2 xrefs)
[ ] PTR_strcpy_6fdd903c @ 6fdd903c (2 xrefs)
[ ] PTR_gdwInvBitMasks_6fdd9078 @ 6fdd9078 (2 xrefs)
[ ] PTR_SetFilePointer_6fdd9104 @ 6fdd9104 (2 xrefs)
[ ] PTR_SetStdHandle_6fdd910c @ 6fdd910c (2 xrefs)
[ ] PTR_ReadFile_6fdd9124 @ 6fdd9124 (2 xrefs)
[ ] PTR_GetStringTypeW_6fdd9138 @ 6fdd9138 (2 xrefs)
[ ] PTR_VirtualFree_6fdd9158 @ 6fdd9158 (2 xrefs)
[ ] PTR_HeapDestroy_6fdd9160 @ 6fdd9160 (2 xrefs)
[ ] PTR_GetStdHandle_6fdd9180 @ 6fdd9180 (2 xrefs)
[ ] PTR_CloseHandle_6fdd91a0 @ 6fdd91a0 (2 xrefs)
[ ] PTR_SetLastError_6fdd91c0 @ 6fdd91c0 (2 xrefs)
[ ] PTR_GetSystemTimeAsFileTime_6fdd91d4 @ 6fdd91d4 (2 xrefs)
[ ] PTR_ExitProcess_6fdd91e8 @ 6fdd91e8 (2 xrefs)
[ ] PTR_GetLocalTime_6fdd91f4 @ 6fdd91f4 (2 xrefs)
[ ] s_FlsAlloc_6fdd9528 @ 6fdd9528 (2 xrefs)
[ ] s_kernel32.dll_6fdd9534 @ 6fdd9534 (2 xrefs)
[ ] s_Microsoft_Visual_C++_Runtime_Lib_6fdd99e8 @ 6fdd99e8 (2 xrefs)
[ ] s_<program_name_unknown>_6fdd9a30 @ 6fdd9a30 (2 xrefs)
[ ] s_A_security_error_of_unknown_caus_6fdda2f0 @ 6fdda2f0 (2 xrefs)
[ ] s_Unknown_security_failure_detecte_6fdda3a4 @ 6fdda3a4 (2 xrefs)
[ ] s_item10count_6fdda8dc @ 6fdda8dc (2 xrefs)
[ ] s_item10loc_6fdda8e8 @ 6fdda8e8 (2 xrefs)
[ ] s_item9count_6fdda8fc @ 6fdda8fc (2 xrefs)
[ ] s_item9loc_6fdda908 @ 6fdda908 (2 xrefs)
[ ] s_item8count_6fdda91c @ 6fdda91c (2 xrefs)
[ ] s_item8loc_6fdda928 @ 6fdda928 (2 xrefs)
[ ] s_item7count_6fdda93c @ 6fdda93c (2 xrefs)
[ ] s_item7loc_6fdda948 @ 6fdda948 (2 xrefs)
[ ] s_item6count_6fdda95c @ 6fdda95c (2 xrefs)
[ ] s_item6loc_6fdda968 @ 6fdda968 (2 xrefs)
[ ] s_item5count_6fdda97c @ 6fdda97c (2 xrefs)
[ ] s_item5loc_6fdda988 @ 6fdda988 (2 xrefs)
[ ] s_item4count_6fdda99c @ 6fdda99c (2 xrefs)
[ ] s_item4loc_6fdda9a8 @ 6fdda9a8 (2 xrefs)
[ ] s_item3count_6fdda9bc @ 6fdda9bc (2 xrefs)
[ ] s_item3loc_6fdda9c8 @ 6fdda9c8 (2 xrefs)
[ ] s_item2count_6fdda9dc @ 6fdda9dc (2 xrefs)
[ ] s_item2loc_6fdda9e8 @ 6fdda9e8 (2 xrefs)
[ ] s_item1count_6fdda9fc @ 6fdda9fc (2 xrefs)
[ ] s_item1loc_6fddaa08 @ 6fddaa08 (2 xrefs)
[ ] s_Skill8_6fddaa3c @ 6fddaa3c (2 xrefs)
[ ] s_Skill7_6fddaa50 @ 6fddaa50 (2 xrefs)
[ ] s_Skill6_6fddaa64 @ 6fddaa64 (2 xrefs)
[ ] s_Skill5_6fddaa78 @ 6fddaa78 (2 xrefs)
[ ] s_Velocity_6fddaaf4 @ 6fddaaf4 (2 xrefs)
[ ] s_%s\expfield.d2_6fddad4c @ 6fddad4c (2 xrefs)
[ ] s_..\Source\D2Common\DATATBLS\Miss_6fddad74 @ 6fddad74 (2 xrefs)
[ ] s_LocalBlood_6fddadb8 @ 6fddadb8 (2 xrefs)
[ ] s_NumDirections_6fddadd0 @ 6fddadd0 (2 xrefs)
[ ] s_HitShift_6fddade0 @ 6fddade0 (2 xrefs)
[ ] s_ToHit_6fddae18 @ 6fddae18 (2 xrefs)
[ ] s_ELevLen3_6fddaf50 @ 6fddaf50 (2 xrefs)
[ ] s_ELevLen2_6fddaf5c @ 6fddaf5c (2 xrefs)
[ ] s_ELevLen1_6fddaf68 @ 6fddaf68 (2 xrefs)
[ ] s_EDmgSymPerCalc_6fddaf7c @ 6fddaf7c (2 xrefs)
[ ] s_EType_6fddb014 @ 6fddb014 (2 xrefs)
[ ] s_DmgSymPerCalc_6fddb01c @ 6fddb01c (2 xrefs)
[ ] s_MaxLevDam5_6fddb02c @ 6fddb02c (2 xrefs)
[ ] s_MaxLevDam4_6fddb038 @ 6fddb038 (2 xrefs)
[ ] s_MaxLevDam3_6fddb044 @ 6fddb044 (2 xrefs)
[ ] s_MaxLevDam2_6fddb050 @ 6fddb050 (2 xrefs)
[ ] s_MaxLevDam1_6fddb05c @ 6fddb05c (2 xrefs)
[ ] s_MinLevDam5_6fddb074 @ 6fddb074 (2 xrefs)
[ ] s_MinLevDam4_6fddb080 @ 6fddb080 (2 xrefs)
[ ] s_MinLevDam3_6fddb08c @ 6fddb08c (2 xrefs)
[ ] s_MinLevDam2_6fddb098 @ 6fddb098 (2 xrefs)
[ ] s_MinLevDam1_6fddb0a4 @ 6fddb0a4 (2 xrefs)
[ ] s_HitFlags_6fddb124 @ 6fddb124 (2 xrefs)
[ ] s_ResultFlags_6fddb130 @ 6fddb130 (2 xrefs)
[ ] s_HitSound_6fddb24c @ 6fddb24c (2 xrefs)
[ ] s_Param5_6fddb334 @ 6fddb334 (2 xrefs)
[ ] s_Param4_6fddb33c @ 6fddb33c (2 xrefs)
[ ] s_Param3_6fddb344 @ 6fddb344 (2 xrefs)
[ ] s_Param2_6fddb34c @ 6fddb34c (2 xrefs)
[ ] s_Param1_6fddb354 @ 6fddb354 (2 xrefs)
[ ] DAT_6fddb9e0 @ 6fddb9e0 (2 xrefs)
[ ] DAT_6fddbd70 @ 6fddbd70 (2 xrefs)
[ ] DAT_6fddca24 @ 6fddca24 (2 xrefs)
[ ] DAT_6fddd458 @ 6fddd458 (2 xrefs)
[ ] DAT_6fddd45c @ 6fddd45c (2 xrefs)
[ ] DAT_6fddd464 @ 6fddd464 (2 xrefs)
[ ] DAT_6fddd468 @ 6fddd468 (2 xrefs)
[ ] s_storepage_6fdddc4c @ 6fdddc4c (2 xrefs)
[ ] s_magic_6fdddcc4 @ 6fdddcc4 (2 xrefs)
[ ] s_equiv2_6fdddd2c @ 6fdddd2c (2 xrefs)
[ ] s_equiv1_6fdddd34 @ 6fdddd34 (2 xrefs)
[ ] s_transform_6fdde3c4 @ 6fdde3c4 (2 xrefs)
[ ] s_shield_6fdde414 @ 6fdde414 (2 xrefs)
[ ] s_weapon_6fdde41c @ 6fdde41c (2 xrefs)
[ ] s_nummods_6fdde434 @ 6fdde434 (2 xrefs)
[ ] DAT_6fdde595 @ 6fdde595 (2 xrefs)
[ ] s_prop9_6fdde84c @ 6fdde84c (2 xrefs)
[ ] s_prop8_6fdde86c @ 6fdde86c (2 xrefs)
[ ] s_prop7_6fdde88c @ 6fdde88c (2 xrefs)
[ ] s_invtransform_6fdde96c @ 6fdde96c (2 xrefs)
[ ] s_chrtransform_6fdde97c @ 6fdde97c (2 xrefs)
[ ] s_lvl_req_6fdde99c @ 6fdde99c (2 xrefs)
[ ] s_ladder_6fdde9a8 @ 6fdde9a8 (2 xrefs)
[ ] s_mod2max_6fddea24 @ 6fddea24 (2 xrefs)
[ ] s_mod2min_6fddea2c @ 6fddea2c (2 xrefs)
[ ] s_mod2param_6fddea34 @ 6fddea34 (2 xrefs)
[ ] s_mod2code_6fddea40 @ 6fddea40 (2 xrefs)
[ ] s_mod1max_6fddea4c @ 6fddea4c (2 xrefs)
[ ] s_mod1min_6fddea54 @ 6fddea54 (2 xrefs)
[ ] s_mod1param_6fddea5c @ 6fddea5c (2 xrefs)
[ ] s_mod1code_6fddea68 @ 6fddea68 (2 xrefs)
[ ] s_etype4_6fddea98 @ 6fddea98 (2 xrefs)
[ ] s_itype7_6fddeab8 @ 6fddeab8 (2 xrefs)
[ ] s_multiply_6fddeb28 @ 6fddeb28 (2 xrefs)
[ ] s_divide_6fddeb34 @ 6fddeb34 (2 xrefs)
[ ] s_armor_6fddeb60 @ 6fddeb60 (2 xrefs)
[ ] s_calc3_6fddf130 @ 6fddf130 (2 xrefs)
[ ] s_stat3_6fddf138 @ 6fddf138 (2 xrefs)
[ ] s_calc2_6fddf140 @ 6fddf140 (2 xrefs)
[ ] s_stat2_6fddf148 @ 6fddf148 (2 xrefs)
[ ] s_calc1_6fddf150 @ 6fddf150 (2 xrefs)
[ ] s_stat1_6fddf158 @ 6fddf158 (2 xrefs)
[ ] s_state_6fddf174 @ 6fddf174 (2 xrefs)
[ ] s_pSpell_6fddf17c @ 6fddf17c (2 xrefs)
[ ] s_spellicon_6fddf1bc @ 6fddf1bc (2 xrefs)
[ ] s_unique_6fddf224 @ 6fddf224 (2 xrefs)
[ ] s_torso_6fddf284 @ 6fddf284 (2 xrefs)
[ ] s_missile_6fddf304 @ 6fddf304 (2 xrefs)
[ ] s_durability_6fddf31c @ 6fddf31c (2 xrefs)
[ ] s_reqdex_6fddf3a0 @ 6fddf3a0 (2 xrefs)
[ ] s_reqstr_6fddf3a8 @ 6fddf3a8 (2 xrefs)
[ ] s_spawnable_6fddf444 @ 6fddf444 (2 xrefs)
[ ] s_levelreq_6fddf484 @ 6fddf484 (2 xrefs)
[ ] s_automap_6fddf548 @ 6fddf548 (2 xrefs)
[ ] DAT_6fddf5a0 @ 6fddf5a0 (2 xrefs)
[ ] s_Level_6fddf688 @ 6fddf688 (2 xrefs)
[ ] s_Dt1Mask_6fddf704 @ 6fddf704 (2 xrefs)
[ ] s_AutoMap_6fddf75c @ 6fddf75c (2 xrefs)
[ ] s_OffsetY_6fddf9f8 @ 6fddf9f8 (2 xrefs)
[ ] s_OffsetX_6fddfa00 @ 6fddfa00 (2 xrefs)
[ ] s_LevelName_6fddfab0 @ 6fddfab0 (2 xrefs)
[ ] s_..\Source\D2Common\UNITS\Missile_6fddff48 @ 6fddff48 (2 xrefs)
[ ] s_..\Source\D2Common\DRLG\OutJung._6fde0144 @ 6fde0144 (2 xrefs)
[ ] s_light-b_6fde0334 @ 6fde0334 (2 xrefs)
[ ] s_light-g_6fde033c @ 6fde033c (2 xrefs)
[ ] s_light-r_6fde0344 @ 6fde0344 (2 xrefs)
[ ] s_monstats_6fde06d0 @ 6fde06d0 (2 xrefs)
[ ] s_restrict_6fde0704 @ 6fde0704 (2 xrefs)
[ ] s_range_6fde0ac0 @ 6fde0ac0 (2 xrefs)
[ ] s_castoverlay_6fde0b54 @ 6fde0b54 (2 xrefs)
[ ] s_pettype_6fde0cf0 @ 6fde0cf0 (2 xrefs)
[ ] s_event_6fde1788 @ 6fde1788 (2 xrefs)
[ ] s_skills_6fde1790 @ 6fde1790 (2 xrefs)
[ ] s_plrmode_6fde17c8 @ 6fde17c8 (2 xrefs)
[ ] s_monmode_6fde17d0 @ 6fde17d0 (2 xrefs)
[ ] s_hiredesc_6fde17d8 @ 6fde17d8 (2 xrefs)
[ ] s_TotalPieces_6fde1f3c @ 6fde1f3c (2 xrefs)
[ ] s_Height_6fde2004 @ 6fde2004 (2 xrefs)
[ ] s_chance6_6fde2270 @ 6fde2270 (2 xrefs)
[ ] s_chance5_6fde22ac @ 6fde22ac (2 xrefs)
[ ] s_chance4_6fde22e8 @ 6fde22e8 (2 xrefs)
[ ] s_chance3_6fde2324 @ 6fde2324 (2 xrefs)
[ ] s_chance2_6fde2360 @ 6fde2360 (2 xrefs)
[ ] s_chance1_6fde239c @ 6fde239c (2 xrefs)
[ ] s_Utrans(H)_6fde2494 @ 6fde2494 (2 xrefs)
[ ] s_Utrans(N)_6fde24a0 @ 6fde24a0 (2 xrefs)
[ ] s_Utrans_6fde24ac @ 6fde24ac (2 xrefs)
[ ] DAT_6fde26ac @ 6fde26ac (2 xrefs)
[ ] DAT_6fde26b0 @ 6fde26b0 (2 xrefs)
[ ] DAT_6fde26b4 @ 6fde26b4 (2 xrefs)
[ ] DAT_6fde26b8 @ 6fde26b8 (2 xrefs)
[ ] DAT_6fde26bc @ 6fde26bc (2 xrefs)
[ ] DAT_6fde26c0 @ 6fde26c0 (2 xrefs)
[ ] DAT_6fde26c4 @ 6fde26c4 (2 xrefs)
[ ] DAT_6fde26c8 @ 6fde26c8 (2 xrefs)
[ ] DAT_6fde26cc @ 6fde26cc (2 xrefs)
[ ] s_AC(H)_6fde2b90 @ 6fde2b90 (2 xrefs)
[ ] s_AC(N)_6fde2b98 @ 6fde2b98 (2 xrefs)
[ ] s_MaxGrp_6fde2fb8 @ 6fde2fb8 (2 xrefs)
[ ] s_MinGrp_6fde2fc0 @ 6fde2fc0 (2 xrefs)
[ ] s_MonSound_6fde3044 @ 6fde3044 (2 xrefs)
[ ] s_..\Source\D2Common\Logging\ProfC_6fde31b4 @ 6fde31b4 (2 xrefs)
[ ] DAT_6fde3368 @ 6fde3368 (2 xrefs)
[ ] DAT_6fde3370 @ 6fde3370 (2 xrefs)
[ ] DAT_6fde3374 @ 6fde3374 (2 xrefs)
[ ] s_%s%s%s_6fde3428 @ 6fde3428 (2 xrefs)
[ ] s_%s\%s\COF\%s%s%s.COF_6fde3430 @ 6fde3430 (2 xrefs)
[ ] DAT_6fde3504 @ 6fde3504 (2 xrefs)
[ ] DAT_6fde3514 @ 6fde3514 (2 xrefs)
[ ] DAT_6fde37e0 @ 6fde37e0 (2 xrefs)
[ ] s_Yoffset_6fde3b04 @ 6fde3b04 (2 xrefs)
[ ] s_Xoffset_6fde3b0c @ 6fde3b0c (2 xrefs)
[ ] s_..\Source\D2Common\PATH\Path.cpp_6fde42c8 @ 6fde42c8 (2 xrefs)
[ ] PTR_FUN_6fde42f0 @ 6fde42f0 (2 xrefs)
[ ] DAT_6fde4d58 @ 6fde4d58 (2 xrefs)
[ ] DAT_6fde4d5c @ 6fde4d5c (2 xrefs)
[ ] DAT_6fde4d60 @ 6fde4d60 (2 xrefs)
[ ] DAT_6fde4d64 @ 6fde4d64 (2 xrefs)
[ ] DAT_6fde4d68 @ 6fde4d68 (2 xrefs)
[ ] DAT_6fde4d6c @ 6fde4d6c (2 xrefs)
[ ] DAT_6fde4d70 @ 6fde4d70 (2 xrefs)
[ ] s_useitem_6fde4d74 @ 6fde4d74 (2 xrefs)
[ ] s_usetype_6fde4d7c @ 6fde4d7c (2 xrefs)
[ ] DAT_6fde4dc0 @ 6fde4dc0 (2 xrefs)
[ ] DAT_6fde4dc5 @ 6fde4dc5 (2 xrefs)
[ ] DAT_6fde4dc9 @ 6fde4dc9 (2 xrefs)
[ ] DAT_6fde4dcc @ 6fde4dcc (2 xrefs)
[ ] DAT_6fde4dd0 @ 6fde4dd0 (2 xrefs)
[ ] DAT_6fde4dd5 @ 6fde4dd5 (2 xrefs)
[ ] DAT_6fde4dd8 @ 6fde4dd8 (2 xrefs)
[ ] DAT_6fde4ddd @ 6fde4ddd (2 xrefs)
[ ] DAT_6fde4de4 @ 6fde4de4 (2 xrefs)
[ ] DAT_6fde4de9 @ 6fde4de9 (2 xrefs)
[ ] DAT_6fde4ded @ 6fde4ded (2 xrefs)
[ ] DAT_6fde4df1 @ 6fde4df1 (2 xrefs)
[ ] DAT_6fde4df5 @ 6fde4df5 (2 xrefs)
[ ] DAT_6fde4df9 @ 6fde4df9 (2 xrefs)
[ ] DAT_6fde4dfd @ 6fde4dfd (2 xrefs)
[ ] DAT_6fde4e01 @ 6fde4e01 (2 xrefs)
[ ] DAT_6fde4e05 @ 6fde4e05 (2 xrefs)
[ ] DAT_6fde4e09 @ 6fde4e09 (2 xrefs)
[ ] DAT_6fde4e44 @ 6fde4e44 (2 xrefs)
[ ] s_..\Source\D2Common\Chat\Chat.cpp_6fde51bc @ 6fde51bc (2 xrefs)
[ ] DAT_6fde5350 @ 6fde5350 (2 xrefs)
[ ] DAT_6fde53c8 @ 6fde53c8 (2 xrefs)
[ ] s_overlay_6fde5870 @ 6fde5870 (2 xrefs)
[ ] DAT_6fde5b74 @ 6fde5b74 (2 xrefs)
[ ] s_..\Source\D2Common\DRLG\DrlgAnim_6fde5e78 @ 6fde5e78 (2 xrefs)
[ ] s_%02d:%02d:%02d.%03d_6fde5f44 @ 6fde5f44 (2 xrefs)
[ ] DWORD_6fde7058 @ 6fde7058 (2 xrefs)
[ ] DAT_6fde900c @ 6fde900c (2 xrefs)
[ ] DAT_6fde919c @ 6fde919c (2 xrefs)
[ ] DAT_6fde91a0 @ 6fde91a0 (2 xrefs)
[ ] DAT_6fde91a4 @ 6fde91a4 (2 xrefs)
[ ] DAT_6fde91b0 @ 6fde91b0 (2 xrefs)
[ ] PTR_s_(null)_6fde9300 @ 6fde9300 (2 xrefs)
[ ] DAT_6fde9318 @ 6fde9318 (2 xrefs)
[ ] DAT_6fde9588 @ 6fde9588 (2 xrefs)
[ ] DAT_6fde9798 @ 6fde9798 (2 xrefs)
[ ] DAT_6fde979c @ 6fde979c (2 xrefs)
[ ] DAT_6fde97b0 @ 6fde97b0 (2 xrefs)
[ ] PTR_DAT_6fde9920 @ 6fde9920 (2 xrefs)
[ ] PTR_DAT_6fde9924 @ 6fde9924 (2 xrefs)
[ ] PTR_DAT_6fde9928 @ 6fde9928 (2 xrefs)
[ ] PTR_DAT_6fde992c @ 6fde992c (2 xrefs)
[ ] PTR_DAT_6fde9930 @ 6fde9930 (2 xrefs)
[ ] PTR_DAT_6fde9934 @ 6fde9934 (2 xrefs)
[ ] PTR_DAT_6fde9938 @ 6fde9938 (2 xrefs)
[ ] PTR_DAT_6fde993c @ 6fde993c (2 xrefs)
[ ] PTR_DAT_6fde9940 @ 6fde9940 (2 xrefs)
