# D2Common.dll Data Todo List
# Format: [ ] name @ address (N xrefs)
# Generated by extract_ghidra_data_REST.ps1 on 10/16/2025 01:22:55
# Using list_data_items_by_xrefs endpoint (v1.7.4+)
# Total data items: 5000
# Total items fetched: 5000
# Sorted by xref count (highest first)
# Items with 0 xrefs excluded by API
#

[X] GlobalDataTables @ 6fde9e1c (511 xrefs)
[ ] DAT_6fdf1480 @ 6fdf1480 (12 xrefs)
[ ] s_..\Source\D2Common\DRLG\Drlg.cpp_6fde4680 @ 6fde4680 (11 xrefs)
[ ] DAT_6fdefbf0 @ 6fdefbf0 (11 xrefs)
[ ] DAT_6fdf088c @ 6fdf088c (11 xrefs)
[ ] DAT_6fdf09b4 @ 6fdf09b4 (11 xrefs)
[ ] DAT_6fdf0b30 @ 6fdf0b30 (11 xrefs)
[ ] DAT_6fdf141c @ 6fdf141c (11 xrefs)
[ ] PTR_PTR_6fde994c @ 6fde994c (10 xrefs)
[ ] DAT_6fdefbd4 @ 6fdefbd4 (10 xrefs)
[ ] DAT_6fdefbd8 @ 6fdefbd8 (10 xrefs)
[ ] DAT_6fdeff94 @ 6fdeff94 (10 xrefs)
[ ] DAT_6fdf0968 @ 6fdf0968 (10 xrefs)
[ ] DAT_6fdf0a7c @ 6fdf0a7c (10 xrefs)
[ ] DAT_6fdf0a88 @ 6fdf0a88 (10 xrefs)
[ ] DAT_6fdf0a98 @ 6fdf0a98 (10 xrefs)
[ ] DAT_6fdf0af0 @ 6fdf0af0 (10 xrefs)
[ ] DAT_6fdf0b94 @ 6fdf0b94 (10 xrefs)
[ ] DAT_6fdf145c @ 6fdf145c (10 xrefs)
[ ] DAT_6fdf14ac @ 6fdf14ac (10 xrefs)
[ ] DAT_6fdf14b0 @ 6fdf14b0 (10 xrefs)
[ ] s_..\Source\D2Common\DRLG\DrlgLogi_6fdda72c @ 6fdda72c (9 xrefs)
[ ] s_DATA\GLOBAL_6fddad5c @ 6fddad5c (9 xrefs)
[ ] s_DATA\GLOBAL\EXCEL_6fdddbf0 @ 6fdddbf0 (9 xrefs)
[ ] s_version_6fddf4c8 @ 6fddf4c8 (9 xrefs)
[ ] s_..\Source\D2Common\Text\Text.cpp_6fde4060 @ 6fde4060 (9 xrefs)
[ ] s_..\Source\D2Common\DRLG\OutPlace_6fde5328 @ 6fde5328 (9 xrefs)
[ ] DAT_6fde92fc @ 6fde92fc (9 xrefs)
[ ] DAT_6fdf007c @ 6fdf007c (9 xrefs)
[ ] DAT_6fdf0898 @ 6fdf0898 (9 xrefs)
[ ] DAT_6fdf0afc @ 6fdf0afc (9 xrefs)
[ ] DAT_6fdf0b44 @ 6fdf0b44 (9 xrefs)
[ ] DAT_6fdf0b98 @ 6fdf0b98 (9 xrefs)
[ ] DAT_6fdf15e4 @ 6fdf15e4 (9 xrefs)
[ ] DAT_6fdf1724 @ 6fdf1724 (9 xrefs)
[ ] DAT_6fdf2854 @ 6fdf2854 (9 xrefs)
[ ] ExceptionList @ ffdff000 (9 xrefs)
[ ] s_..\Source\D2Common\QuestRecord\Q_6fde4704 @ 6fde4704 (8 xrefs)
[ ] s_..\Source\D2Common\ITEMS\Items.c_6fde4848 @ 6fde4848 (8 xrefs)
[ ] DAT_6fde9964 @ 6fde9964 (8 xrefs)
[ ] PTR_FUN_6fde9e24 @ 6fde9e24 (8 xrefs)
[ ] DAT_6fde9e5c @ 6fde9e5c (8 xrefs)
[ ] DAT_6fdef8a0 @ 6fdef8a0 (8 xrefs)
[ ] DAT_6fdefbe0 @ 6fdefbe0 (8 xrefs)
[ ] DAT_6fdefd94 @ 6fdefd94 (8 xrefs)
[ ] DAT_6fdf0028 @ 6fdf0028 (8 xrefs)
[ ] DAT_6fdf0960 @ 6fdf0960 (8 xrefs)
[ ] DAT_6fdf0970 @ 6fdf0970 (8 xrefs)
[ ] DAT_6fdf0b48 @ 6fdf0b48 (8 xrefs)
[ ] DAT_6fdf0b4c @ 6fdf0b4c (8 xrefs)
[ ] DAT_6fdf1404 @ 6fdf1404 (8 xrefs)
